head,desc,topic
Ant Group to raise $17.5 billion via Hong Kong IPO without cornerstone investors - sources," HONG KONG (Reuters) - China’s Ant Group plans to raise about half of its $35 billion dual listing in Hong Kong and will not offer a cornerstone tranche as it bets on strong demand from institutional investors, sources said. Backed by Chinese e-commerce giant Alibaba, Ant plans to list simultaneously in Hong Kong and on Shanghai’s STAR Market next month in what could be the world’s largest IPO, surpassing oil giant Saudi Aramco’s $29.4 billion float last December. The financial technology firm is seeking to raise about $35 billion after assessing early investor interest and based on a higher valuation of about $250 billion or more, Reuters has reported. Ant aims to sell 10-15% of its enlarged share capital, splitting the float evenly between Hong Kong and Shanghai, two of the sources said, requesting anonymity as the details were not yet public. Ant declined to comment. Bloomberg News first reported the details earlier on Wednesday. After receiving positive initial feedback from prospective investors including some existing shareholders, Ant has decided to push ahead with the Hong Kong leg without cornerstone investors, who usually buy significant chunks of a local IPO, said three of the people. While the cornerstone practice is common in several Asian markets and helps bolster demand for large deals, such investors generally tend to push for as low an IPO price as possible, denting issuers’ ambition for higher valuations. A high percentage of cornerstone investors would also sharply reduce post-listing trading volumes, as shares are locked up for at least six months in Hong Kong. Ant, which won approval from the Shanghai Stock Exchange for the domestic IPO last week, plans to seek a listing hearing with the Hong Kong bourse in the coming days, said one of the people.",Business
First tanker to load crude at Libya's Hariga port since January," BENGHAZI/LONDON (Reuters) - An oil tanker is expected to load crude at Libya’s Marsa el-Hariga terminal this week, the first since a blockade by eastern forces in January slashed the OPEC member’s oil production to a trickle. The Delta Hellas tanker will enter Libya’s Hariga port on Wednesday and load 1 million barrels of oil from the port’s storage, the Arabian Gulf Oil Co which operates the port said in a statement. Eastern Libyan commander Khalifa Haftar said last week his forces would lift their eight-month blockade of oil exports, which depressed the OPEC member’s production down to around 100,000 barrel per day (bpd). Trading arm of China’s Sinopec , Unipec- which prior to the blockade was one of the main lifters of Mesla and Sarir crude grades from the terminal- booked the tanker, two trading sources said. Unipec also booked the Marlin Shikoku tanker, which according to Refinitiv Eikon shipping data is expected to arrive at Hariga on Thursday. This comes as the National Oil Corporation (NOC) seeks to gradually boost production, with output expected to rise to around 260,000 bpd next week. Before the blockade, Libya produced around 1.2 million bpd, or more than 1% of global production. NOC, which said it would only resume at ports and oilfields that are free of military presence, has so far announced oil export resumption from the Hariga, Brega and Zueitina terminals.",Business
Euro zone economic recovery in danger as services slide," LONDON (Reuters) - Euro zone business growth ground to a halt this month, throwing the economic recovery into question, as fresh restrictions to quell a resurgence in coronavirus infections slammed the services industry into reverse, a survey showed on Wednesday. The renewed downturn in the dominant services sector, which is likely to be hit harder by new constraints on activity imposed across the 19-country euro zone, more than offset the strongest manufacturing growth in two years. “Alarm bells should be going off about the pace of the recovery at the moment as the number of new COVID-19 cases has been flaring up,” said Bert Colijn at ING. “For governments and the European Central Bank, this will be a wake-up call, if they needed one.” IHS Markit’s flash Purchasing Managers’ Index sank to 50.1 in September from August’s 51.9, only just above the 50 mark separating growth from contraction and well below the median forecast in a Reuters poll for a modest dip to 51.7. Tough lockdown measures to halt the spread of the virus brought economic activity to a virtual standstill at the height of the pandemic’s first wave in the spring. Most measures were relaxed as infection rates fell sharply and recent data have suggested the continent weathered the COVID-induced recession better than many feared. But Wednesday’s gloomy survey of private sector businesses suggested “the recovery is grinding to a halt, at least outside the German manufacturing sector”, said Jessica Hinds at Capital Economics. “And with no sign the resurgence in virus cases has been stamped out, there is a clear and growing risk it goes into reverse, at least in the countries worst affected by the virus.” The flash PMI for the euro zone service industry plummeted to 47.6 from 50.5, significantly below the breakeven mark and falling short of even the most pessimistic forecast in a Reuters poll that had predicted a reading of 50.5. Manufacturers fared much better, with the factory PMI climbing to a just over two-year high of 53.7 from 51.7 and a median forecast of 51.9. While services came in below all expectations, manufacturing was above all of them. The European Central Bank has already planned 1.35 trillion euros of pandemic-related asset purchases to support the economy and there is an historic 750 billion euro recovery fund from the European Union due to kick in next year. But a return to where the economy was before the outbreak is not expected until at least end-2022 and the new rise in coronavirus cases is the biggest threat to the recovering economy, according to a Reuters poll of economists. [ECILT/EU] Separate flash PMIs showed Germany’s private sector continued to recover this month but more slowly than expected. In France, the euro zone’s second biggest economy, activity slowed to a four-month low with services weaker than expected as the country struggled to contain a surge in new COVID-19 cases. In Britain, outside the currency union, the recovery from the lockdown lost some momentum as consumer-facing sectors suffered from the end of a government subsidy to support restaurants and more general COVID-related worries.",Business
Positive about flying? Airlines look to COVID tests that give results in minutes," ZURICH/MILAN (Reuters) - European airlines are pinning hopes on pre-flight COVID-19 tests that deliver results as fast as pregnancy tests to help restore passengers’ confidence in taking to the skies in confined spaces with shared air. Germany’s Lufthansa, at the mercy of government bailouts for survival, is in talks with Swiss drugmaker Roche over deploying so-called antigen tests, according to two people familiar with the discussions, as the airline aims to make them available next month. Italian operator Alitalia, meanwhile, told Reuters that from Wednesday it would add two flights from Milan to Rome, to the two it is already offering from Rome to Milan, exclusively for passengers with negative tests. The tests are administered by health authorities at the airports and included in ticket prices. If they prove popular and safe, these antigen-tested flights will be expanded to more domestic, and later international, routes, the airline said. Unlike laboratory-based molecular tests that have been the staple of health authorities in the pandemic, antigen tests do not require machines to process. Much like pregnancy tests, they can produce results in about 15 minutes. However the tests require an uncomfortable nasal swab and are not as accurate as the molecular, or PCR, tests. They generally produce more “false negatives” which could mean sick people could slip through the cracks and onto planes. An increasing number are hitting the market, from companies such as Abbott Laboratories, Becton Dickinson & Co and Quidel Corp and Roche, which is rebranding antigen tests from South Korea’s privately held SD Biosensor. Airlines are pressing governments to embrace alternatives to blanket travel restrictions amid a resurgence of COVID-19 cases in Europe. Rapid antigen tests that can be administered by non-medical staff are expected to become available in coming weeks for as little as $7 each, the head of industry body the International Air Transport Association said on Tuesday. Despite the drawbacks of such antigen tests, carriers hope they could tip the balance in convincing people to fly. “It is to give ... confidence, at a specific point in time, that the result is positive or negative,” said Christian Paulus, a Roche research and development manager. “The PCR remains the gold standard. Therefore if there are any questions open, or if the clinical appearance of the person who had a negative test, if the person has symptoms like a fever, then you would for sure do confirmatory testing.” Alitalia launched its “COVID Tested Flights” programme from Rome to Milan last week, and will expand it from Wednesday. Only passengers with negative COVID-19 results can board. “So far no positive passengers have been found,” said an Alitalia spokesman, adding that many chose to take the airline’s antigen tests the night before the flight. Travellers can access airport-testing facilities via a preferred lane with their tickets. The airline plans to analyse findings around the middle of October, but already expects antigen-tested flights will be expanded to domestic and later international routes. “First, we have to see how this experiment goes,” the spokesman said. The pre-flight antigen tests follow a scheme in Italy where such tests were used defensively. SD Biosensor said its tests had been deployed at Italian airports for incoming tourists, to avoid a renewed COVID-19 wave imported from infection hotspots. ‘BETTER THAN QUARANTINE’ Lufthansa Chief Executive Carsten Spohr last week told employees during a townhall meeting that the airline was in talks with Roche. The drugmaker started selling the rapid tests this week, and said SD Biosensor could initially supply it with about 40 million tests per month. The Lufthansa tests could initially go to cabin crews, a spokeswoman said, though Bjoern Becker, a senior director of product management, ground & digital services for the Lufthansa Group, said the tests could also be made available to first-class and business-class passengers. “We think the tests would be a better option than putting somebody into quarantine,” the airline spokeswoman said. Beyond airlines, Germany is eyeing broader antigen test use from October, including in nursing homes where older patients have been hardest hit by the deadly virus. Regulators still worry about test accuracy, which typically detect the virus 80% to 90% of the time, below the 95% rate of lab tests. Still, some officials don’t want the perfect to be the enemy of the pretty good as they pursue some semblance of economic normality. “They’re good enough,” German health minister Jens Spahn said, pledging antigen tests in “significant quantities”. The state of Bavaria has already ordered 10 million.",Business
Exclusive: Hyundai discussing concessions with EU regulators over Daewoo deal - sources," BRUSSELS (Reuters) - The world's biggest shipbuilder Hyundai Heavy Industries Holdings Co Ltd 267250.KS is discussing concessions with EU antitrust regulators to allay concerns over its $1.8 billion bid for rival Daewoo 042660.KS, people familiar with the matter said. The deal, in part a response to overcapacity in the sector, would reinforce the South Korean company’s top position with a 21% market share, and comes as rivals in China and Singapore make inroads. The European Commission, which opened a full-scale investigation into the deal last December on concerns it could inflate prices and reduce competition in cargo shipbuilding, declined to comment. Hyundai was not immediately available for comment, while Daewoo declined to comment. Hyundai may face less onerous concessions after the EU competition enforcer dropped its concerns regarding the impact of the deal on the markets for large container ships, oil tankers and liquefied petroleum gas (LPG) carriers. It is now focusing solely on liquefied natural gas (LNG) carriers, one of the people said, which are used to transport LNG between Europe and the Middle East and North Africa. EU regulators typically favour asset sales or the transfer of technologies or contracts to rivals to address competition concerns. The Commission temporarily halted its probe on July 13, the third time it has done so. The previous two delays were due to the coronavirus crisis and also to it waiting for the companies to provide data. Much of the EU’s internal and external freight trade goes by sea, with European shipping companies major customers of Hyundai and Daewoo.",Business
"SEB dirty money problems 'not new', says Swedish FSA after TV show revelations"," STOCKHOLM (Reuters) - Sweden’s financial watchdog said on Wednesday that lender SEB’s past deficiencies regarding money-laundering were well known, after Swedish Television (SVT) aired a programme saying 8.2 billion Swedish crowns ($919 million) in suspicious funds had passed through the bank. SVT’s allegations were based on leaked suspicious activity reports (SARs) filed by banks and other financial firms with the U.S. Department of Treasury’s Financial Crimes Enforcement Network (FinCEN), which were reported by U.S. and other media on Sunday. “The fact that there has been suspected illicit financial flows through SEB in the Baltic region is something that has been reported on...so in that sense this information is not new,” the FSA told Reuters. The Baltic scandal, first ensnaring Danske Bank and resulting in a record Swedish fine for Swedbank, lifted the lid on money flows from Russian and other non-resident clients into the European Union and elsewhere. “The information that (SVT’s) Uppdrag Granskning presents in its programme does not contain any news for the bank,” SEB said in a statement. SEB was fined 1 billion crowns by Sweden’s financial watchdog in June for failures in compliance and governance in relation to anti-money-laundering controls in the Baltics. “The scope in time on our part for the investigation was originally set for 2007-2019, but for a number of reasons...not least changes in the regulatory framework...that time frame was later limited to 2015-2019,” the FSA said. Shares in SEB were up 2.1% at 1141 GMT. “It doesn’t add much that is new. We talked about a relatively large number of suspicious transitions before,” said Andreas Hakansson, a senior analyst at Danske Bank. Hakansson added that the SVT programme did, however, contain some new details on names connected to suspected wrongdoing at SEB. Among others, SVT said SEB did business with a British company that was part of the so-called “Russian laundromat”, an alleged large-scale, Russian-led money laundering scheme reported by media in 2017. The FinCEN leaks reported by media on Sunday showed several global banks moved large sums of allegedly illicit funds over a period of nearly two decades despite red flags about the origins of the money. ($1 = 8.9257 Swedish crowns)",Business
"EU regulators extend Google, Fitbit deal probe to December 23"," BRUSSELS (Reuters) - EU antitrust regulators have extended their investigation into Alphabet GOOGL.O unit Google's fitness tracker maker Fitbit FIT.N to Dec. 23, the European Commission said on Wednesday. The EU competition enforcer last month kicked off a full-scale probe into the deal, saying Google’s pledge not to use Fitbit’s data for advertising purposes was insufficient to address competition concerns. “The Commission extended the deadline in agreement with the parties,” the EU executive said in an email. Google has said the combination of its and Fitbit's hardware would boost competition in the sector where players include Apple AAPL.O, Samsung 005930.KS, Xiaomi 1810.HK, Huawei [HWT.UL] and others.",Business
Hedge fund manager Alexander Klabin to invest in auction house Sotheby's," (Reuters) - Hedge fund manager Alexander Klabin will invest in international art auction house Sotheby’s and become the executive chairman of its art financing business, the company said on Wednesday. The company did not disclose terms of the Klabin’s investment but said he will lead a management team to help Sotheby’s modernize its underwriting process and improve its access to capital markets. Klabin is the founder of hedge fund Senator Investment Group, which he left in February. He will launch his newly-formed company named Ancient in early 2021. Sotheby’s Financial Services offers financing against art collections of all types, including those of the late Duchess of Windsor, the personal collection of artist Andy Warhol and Edvard Munch’s painting “The Scream”. The 275-year-old auction house was the oldest company listed on the New York Stock Exchange before it was taken private reut.rs/301OBWc in 2019 by Franco-Israeli cable magnate Patrick Drahi in a $3.7-billion deal.",Business
"Sensex, Nifty slide for fifth session as Airtel, TCS drag"," BENGALURU (Reuters) - Indian shares fell on Wednesday for a fifth straight session as surging coronavirus cases fuelled investor concerns, with Bharti Airtel driving losses after rival Jio stepped up competition with new postpaid plans, while Tata Consultancy Services slid over 2%. The broader NSE Nifty 50 index slipped 0.2% to 11,131.85 and the S&P BSE Sensex fell 0.17% to 37,668.42. Both the indexes have shed more than 3% so far this week. Shares of telecom operator Bharti Airtel Ltd fell as much as 10% to their lowest since April 3, after rival Jio, the telecom unit of Reliance Industries, rolled out new postpaid plans on Tuesday bundled with video-streaming services. TCS fell as much as 4.5% after, Shapoorji Pallonji (SP) group, the largest minority shareholder in Tata Group, said on Tuesday it wanted to separate interests from the autos-to-steel conglomerate. “Tatas have to make some back to back arrangements for raising money if they are parting ways with Shapoorji Pallonji and investors may be asked to contribute directly or indirectly,” said Deepak Jasani, head of research, HDFC Securities. Meanwhile, India’s coronavirus infections surged again on Wednesday. Britain re-imposed some lockdown measures as a second wave of coronavirus infections sweeps across Europe, while the death toll in the United States crossed 200,000. “As the fresh covid cases are rising day by day ... it is increasing tension among retailers as well as big players in the market,” said Rahul Sharma, head of research, Equity99 Advisors in Mumbai. Both the benchmark indexes had earlier risen nearly 1%, boosted mainly by Reliance that rose as much as 3%, after it said U.S. private equity firm KKR would invest 55.50 billion rupees ($755.09 million) in the conglomerate’s retail arm.",Business
Tesco boss tells UK shoppers not to panic buy after new COVID curbs," LONDON (Reuters) - There is no need for shoppers to panic buy grocery supplies after Britain imposed new restrictions to stem a second wave of COVID-19, the boss of Tesco, the country’s biggest supermarket chain, said on Wednesday. Prime Minister Boris Johnson told the British people on Tuesday to work from home where possible and ordered restaurants and bars to close early to tackle a spike in the pandemic, with new restrictions lasting probably six months. That prompted speculation over whether there could be panic buying of groceries similar to that which stripped supermarket shelves bare in March and led to the rationing of certain items. However, Tesco Chief Executive Dave Lewis said there was no need as food supplies were plentiful. “The message would be one of reassurance. I think the UK saw how well the food industry managed last time, so there’s very good supplies of food,” he told Sky News on Wednesday. “We just don’t want to see a return to unnecessary panic buying because that creates a tension in the supply chain that’s not necessary. And therefore we would just encourage customers to continue to buy as normal.” Lewis said he did anticipate there would be some small increases in stockbuilding within UK homes. On Tuesday the CEO of Aldi UK, Britain’s fifth largest supermarket group, e-mailed customers to reassure them. “Our stores remain fully stocked and ask that you continue to shop considerately. There is no need to buy more than you usually would,” said Giles Hurley.",Business
"Spain's second-quarter GDP falls less than expected, still worst decline on record"," (Reuters) - The Spanish economy shrank less than previously reported in the second quarter, but the contraction was still the worst on record as the coronavirus pandemic brought the country to a halt, the national statistics office said on Wednesday. The economy contracted by 17.8% quarter-on-quarter and 21.5% year-on-year, compared with readings of 18.5% and 22.1% in an initial estimate released in late July. Spanish authorities imposed one of Europe’s strictest lockdowns to curb the pandemic from mid-March to late June, triggering one of the deepest recessions in the region. A 20.4% quarterly drop in household spending dragged the economy down, alongside a 22.1% drop in investment and a 33.4% decline in exports of goods and services. Retail and hospitality collapsed with a 39.6% drop, as travel restrictions and covid fears kept tourists away. Recent indicators have shown that the economy has partly recovered during the third quarter and should grow more than 10%, Economy Minister Nadia Calvino said last week. Restrictions on travel have hampered the recovery of the tourism-dependent Spanish economy. August hotel-occupancy data showed tourism was still suffering, with bookings by Britons, the largest tourist group by nationality in Spain, dropping 91%. One of the rare sectors that contributed to the economy was agriculture, growing 3.6%. Public spending grew by 0.3%. Spain has the highest number of COVID-19 cases in Western Europe, with over 682,000 infections and nearly 31,000 deaths as of Tuesday.",Business
German cabinet approves second-highest net new debt since World War Two in 2021 budget," BERLIN (Reuters) - The German cabinet on Wednesday approved Finance Minister Olaf Scholz’s draft budget for next year which envisages net new debt of 96.2 billion euros ($112.43 billion) to finance further measures to tackle the coronavirus crisis, an official said. The additional borrowing marks the second-highest amount of net new debt in Europe’s largest economy since the end of World War Two and comes after the government already took on record high borrowing of some 218 billion euros this year. The budget underlines Scholz’s determination to move Germany further away from its former image as Europe’s austerity champion and secure Berlin’s new role as the biggest spender in the euro zone’s struggle to recover from the coronavirus shock. The fiscal plans require Germany to suspend its constitutionally enshrined debt limits in 2021 after parliament already abandoned them this year. From 2022 onwards, Germany plans to stick to its debt brake rules again, limiting borrowing to a tiny fraction of gross domestic product. The government’s mid-term fiscal plans envisage net new debt of 10.5 billion euros in 2022, 6.7 billion euros in 2023 and 5.2 billion euros in 2024. This means Germany is not planning to return to its ultra-prudent fiscal policy of keeping a balanced budget. ($1 = 0.8557 euros)",Business
BOJ Kuroda says may extend deadline for aid to pandemic-hit firms," TOKYO (Reuters) - Bank of Japan Governor Haruhiko Kuroda said the central bank was ready to extend its programmes aimed at easing corporate funding strains that expire early next year, as the coronavirus pandemic keeps the economic outlook highly uncertain. He also reiterated the BOJ’s resolve to work closely with the government in battling headwinds to Japan’s recovery such as the fallout from U.S.-China tensions and protectionism. “There’s a good possibility we will extend the deadline for the programmes if needed, depending on the impact of COVID-19,” Kuroda told a news conference after his online meeting with business leaders in Osaka, western Japan, on Wednesday. “We’ll make the decision at an appropriate timing and won’t wait until the last minute,” he added. The BOJ ramped up purchases of corporate debt and created a lending facility to pump money to firms hit by COVID-19, as part of efforts to cushion the economic blow from the pandemic. Both programmes end in March next year, unless the BOJ’s board votes to extend the deadline. “It’s true corporate funding remains tight. We’ll of course monitor developments carefully and take additional easing steps without hesitation if necessary,” Kuroda told the Osaka business leaders. “We’d like to continue supporting corporate funding, working closely with the government,” he said. Kuroda made the remarks after meeting Prime Minister Yoshihide Suga earlier in the day. It was their first meeting since Suga was elected as Japan’s new leader this month. With the immediate hit from the pandemic easing, the BOJ kept monetary policy steady last week and upgraded its view on the economy to say it was starting to pick up. Kuroda said the economy and prices were moving roughly in line with the BOJ’s latest forecasts made in July. But he warned that any economic recovery will be moderate with risks “skewed to the downside.” “The shock exerted by the pandemic could push down corporate and household growth expectations, making them cautious about spending. That’s something we need to look out for,” he said. Kuroda also said Japan’s consumer prices will likely keep falling for the time being due mostly to temporary discounts offered by the government to promote domestic tourism. “Our baseline scenario is for consumer inflation to turn positive thereafter and accelerate its pace of increase as the economy improves,” he added, shrugging off the view Japan could slip back into chronic deflation. Japan suffered its biggest economic slump on record in the second quarter as COVID-19 hit demand, reinforcing expectations inflation will remain well below the BOJ’s 2% target for years.",Business
Chevron asks employees to delete WeChat after U.S. ban - Bloomberg News," (Reuters) - U.S. oil giant Chevron Corp CVX.N has asked employees globally to delete Tencent Holdings Ltd's WeChat from their work phones, following the Trump administration's executive order to ban the social media app, Bloomberg News reported on Wednesday. A U.S. judge on Sunday blocked a government order requiring Apple Inc AAPL.O and Alphabet Inc's Google GOOGL.O to remove WeChat for downloads on national security grounds. The U.S. Commerce Department said on Monday it would challenge the order. WeChat is an all-in-one mobile app that combines messaging, social media, payment functions and other services and boasts more than a billion users globally. Chevron, in a staff email, identified WeChat as a “non-compliant application” and asked those with the app on their work handsets to delete it before Sept. 27 or face disconnection from the company’s network, according to the Bloomberg report. Chevron and Tencent, which has denied its apps pose a national security risk, did not immediately respond to requests for comment. The United States has launched a series of measures in recent months cracking down on Chinese tech firms and apps, as the world’s two largest economies butt heads on issues ranging from trade and technology to the handling of the COVID-19 pandemic.",Business
Tesla's value drops $50 billion as Musk's promised cheaper battery three years away," (Reuters) - Investors slashed $50 billion from Tesla Inc's TSLA.O market value on Tuesday despite CEO Elon Musk's promise to cut electric vehicle costs so radically that a $25,000 car that drives itself will be possible, but not for at least three years. Tesla’s market cap dropped $20 billion in just two hours after trading closed Tuesday, as Musk and other Tesla executives presented their new battery and manufacturing strategies. Shares closed down 5.6% and dropped another 6.9% after hours. “Nothing Musk discussed about batteries is a done deal,” said Roth Capital Partners analyst Craig Irwin. “There was nothing tangible.” Investors had expected two significant announcements at Musk’s oft-touted “Battery Day”: The development of a “million mile” battery good for 10 years or more, and a specific cost reduction target -- expressed in dollars per kilowatt-hour -- that would finally drop the price of an electric vehicle below that of a gasoline car. Musk offered neither. Instead, he promised over the next several years to slash battery costs in half with new technology and processes and deliver an “affordable” electric car. “In three years . . . we can do a $25,000 car that will be basically on par (with), maybe slightly better than, a comparable gasoline car,” Musk said. Musk acknowledged that Tesla does not have its ambitious new vehicle and battery designs and manufacturing processes fully complete. Tesla has frequently missed production targets set by Musk. Tesla expects to eventually be able to build as many as 20 million electric vehicles a year. This year, the entire auto industry expects to deliver 80 million cars globally. Building an affordable electric car “has always been our dream from the beginning of the company,” Musk told an online audience of more than 270,000. Tesla on Tuesday also introduced a new Model S Plaid, a 520-mile range sedan that can reach top speeds of up to 200 miles per hour (320 km per hour), with deliveries starting in 2021. The Plaid was listed on Tesla’s website on Tuesday at a price of nearly $140,000. At the opening of the event, Musk walked on stage in a black t-shirt and jeans as about 240 shareholders -- each sitting in a Tesla Model 3 in the company parking lot -- honked their car horns in approval. To help drive down vehicle cost, Musk described a new generation of batteries that will be more powerful, longer lasting and half as expensive than the company’s current cells. Tesla’s new larger cylindrical cells will provide five times more energy, six times more power and far greater driving range, Musk said, adding that full production is about three years away. To help reduce cost, Musk said Tesla planned to recycle battery cells at its Nevada “gigafactory,” while reducing cobalt -- one of the most expensive battery materials -- to virtually zero. It also plans to manufacture its own battery cells at several highly automated factories around the world. Shares in two battery suppliers to Tesla, South Korea's LG Chem 051910.KS and Japan's Panasonic Corp 6752.T, fell after the announcement. Tesla will produce the new battery cells initially on a new assembly line near its vehicle plant in Fremont, California, with planned output reaching 10 gigawatt-hours a year by the end of 2021. Tesla and partner Panasonic Corp 6752.T now have production capacity of around 35 gWh at the Nevada battery ""gigafactory."" Tesla aims to rapidly ramp up battery production over the next years, to 3 terawatt-hours a year, or 3,000 gigawatt-hours -- roughly 85 times greater than the capacity of the Nevada plant. Musk said Tesla could supply batteries to other companies. As automakers shift from horsepower to kilowatts to comply with stricter environmental regulations, investors are looking for evidence that Tesla can increase its lead in electrification technology over legacy automakers who generate most of their sales and profits from combustion-engine vehicles. While average electric vehicle prices have decreased in recent years thanks to changes in battery composition, they are still more expensive than conventional cars, with the battery estimated to make up a quarter to a third of an electric vehicle’s cost. Some researchers estimate that price parity, or the point at which electric vehicles are equal in value to internal combustion cars, is reached when battery packs cost $100 per kilowatt hour (kWh). Tesla’s battery packs cost $156 per kWh in 2019, according to electric vehicle consulting firm Cairn Energy Research Advisors.","World
World Home
Middle East
Special Reports
Reuters Investigates
World Video"
Explainer: Foreign access to China's $16 trillion bond market," SHANGHAI (Reuters) - Index provider FTSE Russell is set to decide on whether to include Chinese government bonds in its World Government Bond Index on Thursday, potentially opening the way for more foreign participation in China’s $16 trillion bond market. Below is an introduction to the market for foreign investors. Foreign institutional investors can access the exchange bond and interbank markets, China’s two main markets for bonds, through the dollar-denominated Qualified Foreign Institutional Investor (QFII) programme, and its yuan-denominated sibling, RQFII. China scrapped quotas for QFII and RQFII in June, to give qualified foreign institutions unlimited access to Chinese stocks and bonds. Some institutional investors, including foreign central banks and monetary authorities and sovereign wealth funds can register for direct access to the interbank market through China Interbank Market (CIBM) Direct. Bond Connect, introduced in July 2017, allows quota-free access to the interbank market through its “northbound” channel through Hong Kong. China has not launched a “southbound” channel, which would allow Chinese investors to invest in offshore bonds. Foreign holdings are concentrated in the following: - Chinese government bonds (CGBs) issued by the finance ministry. Foreigners held CGBs worth 1.6 trillion yuan ($236.13 billion) in August, 9.2% of the total. - Policy bank bonds, quasi-sovereign instruments issued by China Development Bank, Export-Import Bank of China and Agricultural Development Bank of China. Foreign holdings stood at 797.9 billion yuan in August, 4.6% of the total. - Negotiable certificates of deposit (NCDs), a short-term interbank debt instrument with tenors of up to one year. Foreign holdings were 210.2 billion yuan in August. - Medium-term notes, a corporate debt instrument. Foreign holdings were 89.4 billion yuan in August. The National Association of Financial Market Institutional Investors (NAFMII) regulates the interbank market, under the auspices of the People’s Bank of China, with trading conducted through the China Foreign Exchange Trade System (CFETS). The National Development and Reform Commission (NDRC), China’s state planner, regulates enterprise bonds, a corporate debt instrument. China Central Depository and Clearing Co (CCDC) and the Shanghai Clearing House are the central depositories. The exchange bond market is regulated by the China Securities Regulatory Commission (CSRC). Trading primarily takes place on the Shanghai and Shenzhen stock exchanges, with China Securities Depository and Clearing Co as the central depository. Investors say China lags far behind its developed-market peers in liquidity, ease of trading and market access. Liquidity remains low as China’s banks, pension funds, insurance companies hold on to their inventory because they cannot engage in bond lending, said Eugenie Shen, managing director and head of ASIFMA’s Asset Management Group. Foreign investors have few hedging tools, such as access to bond futures, she said. China’s practice of charging trading fees separately, rather than building them into the spread, has been problematic for asset managers, but Shen said she expects to see progress on conforming to global practice this year. ($1 = 6.7758 Chinese yuan)","World
World Home
Middle East
Special Reports
Reuters Investigates
World Video"
Investors eye new haven in Chinese bonds as index decision looms," SHANGHAI (Reuters) - China’s recovery from the COVID-19 pandemic and a flurry of market reforms are creating an ideal backdrop for the possible inclusion of its government bonds in a major global index this week. Index provider FTSE Russell is widely expected to add Chinese government bonds (CGBs) to its flagship World Government Bond Index (WGBI) after an annual review on Thursday, a potentially major step for Chinese bonds as investors seek safe-haven assets in a zero-interest-rate world. “If China is included into WGBI, it indicates that it has passed FTSE Russell’s rigorous index inclusion criteria, particularly around market access and tradability,” said Danny Suwanapruti, rates strategist at Goldman Sachs. “This opens the doors for several global fixed income investors beyond index trackers, such as total return funds, multi-asset funds, DM bond funds and central banks.” China fumbled inclusion in last year’s WGBI review over long-standing investor concerns, in particular the poor liquidity, limited flexibility in foreign exchange settlement and tight bond settlement cycles. Since then, regulators have addressed many sticking points, simplifying regulations, scrapping quotas, extending trading hours and bringing market structures more in line with global norms, including a raft of measures in the past few weeks. “A couple of weeks ago, people would have thought inclusion is going to be a close call because there were still some outstanding issues,” said Suwanapruti. The recent changes have improved the chances of being included in the index, he said. Chinese government bonds are already becoming a part of the J.P Morgan and Bloomberg Barclays index suites. But the FTSE WGBI has a far larger passive band of investors following it. Goldman Sachs estimates there is $2.5 trillion of global cash following the WGBI, and China’s inclusion could drive $140 billion into mainland bonds. A WGBI inclusion would help to legitimise Chinese bonds for more investors, particularly as the People’s Bank of China keeps policy steady while the rest of the world is cutting rates. Hiroshi Yokotani, managing director of State Street Global Advisors, said Japanese investors seeking to diversify away from U.S. assets have begun to look at China as a possible destination, noting that “of course, investors are desperate for yields.” Ten-year CGBs yield 240 basis points more than their U.S. equivalents, and expectations of a strong yuan mean hedging costs are low. Foreign interest is rising. On Monday, the largest exchange-traded fund to invest purely in CGBs listed in Singapore.. It took foreigners 22 months to go from 1 trillion to 2 trillion, official data shows. Just fourteen months later, at the end of August, foreigners held Chinese bonds worth 2.8 trillion yuan ($412.61 billion), nearly 3% of all outstanding bonds, and 9.2% of CGBs. The structure of inflows has also shifted. In 2017, short-term debt instruments, such as certificates of deposit, made up a large proportion of inflows as “less sticky” investors bet on the yuan appreciating, said Min Dai, Morgan Stanley’s head of Asia ex-Japan macro strategy. There are now more mutual funds and pension funds investing primarily in bonds, Dai said. He expects foreigners to own around 20% of CGBs by the end of 2030. ($1 = 6.7861 Chinese yuan)","World
World Home
Middle East
Special Reports
Reuters Investigates
World Video"
